Node Number,Node Type,Node Name,Intent,Entity Type,Entity,NLU Disabled?,Next Nodes,Message,Rich Asset Type,Rich Asset Content,Answer Required?,Behaviors,Command,Description,Output,Node Input,Parameter Input,Decision Variable,What Next?,Node Tags,Skill Tag,Variable,Platform Flag,Flows,CSS Classname
99990,A,SlackLogger,,,,,,"Live App ID

f635a328-d734-4a89-8b39-3b37e2057da2",,,,,SlackLogger,"Action node that will send proactive error notifications to a Slack channel

* Includes direct button links to Grafana as well as the CHATID",success,,,success,true~99991|error~99991,,,"CHATID,CHECKLASTURL,LASTURL,CHECKLASTURL_ERROR,ACTION_NODE_ERROR,SESSION_ID",,,
99991,A,VarCheck - PYPESTREAM_TEST,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""PYPESTREAM_TEST""}",valid,true~99995|false~99992|error~99992,,,PYPESTREAM_TEST,,,
99992,A,VarCheck - SAVE_NODE,,,,,,,,,,,VarCheck,"This VarCheck is to check if a user has encountered a techincal error during Phase 3. If the SAVE_NODE is set to something other than ""None"", we can assume the user has made it to itemization. If so, we want to show a different technical error message.",valid,,"{""global_var_name"":""SAVE_NODE""}",valid,true~99994|false~99993|error~99991,,,SAVE_NODE,,,
99993,D,Error Message → No itemization,,,,,,"Sorry, I encountered a technical error. Please call **1-800-252-4633** to file your claim, or try again later.",button,Start over~1,1,disable_input,,,,,,,,,,,,,
99994,D,Error Message → Itemization | Phase 3,,,,,,"Sorry, I encountered a technical error. Please reach out to your Claim professional, or try again later.",button,Start over~1,1,disable_input,,,,,,,,,,,,,
99995,D,Error action node - Pypestream Internal,,,,,,"Sorry, I encountered a technical error. Please call **1-800-252-4633** to file your claim, or try again later.

Error → {ACTION_NODE_ERROR}",button,Start over~1,1,disable_input,,,,,,,,,,,,,
'-585,A,BotToPlatform (requesting transcript from Platform),,,,,,ECH BEGIN - requesting transcript,,,,,BotToPlatform,,success,,"{""schema"" : ""please_reply_with"", ""requesting"": ""chatlog""}",success,true~5850|false~5850|error~5850,,,,,,
5850,A,GenerateVeriskToken,,,,,,,,,,,GenerateVeriskToken,Generates access token for the GenerateVeriskLink action node,success,,,success,true~58501|false~58501|error~58501,,,VERISK_ACCESS_TOKEN,,,
58501,A,FindTaskStatus,,,,,,,,,,,FindTaskStatus,"Checks the user's progress on the Verisk Itemization Webview.

If we get a message in the response saying ""task not ready due to status"", we're gonna save the user's progress (via Savenode)

Any other message (as long as the response is 200) means the task is ready + we can go to Phase 4


Easter Egg (7/27)

- If you're reading this rn, congrats! Lucas will give you 20 Bonusly points for finding this secret egg.",success,,,success,task_ready~5852|task_not_ready~5851|false~5851|error~5851,,,"VERISK_ACCESS_TOKEN,CLAIM_NUMBER",,,
5851,A,VarCheck - SAVE_NODE,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""SAVE_NODE""}",valid,true~5852|false~5853|error~5853,,,SAVE_NODE,,,
5852,A,"PostToUserDataBQTable

✓",,,,,,,,,,,PostToUserDataBQTable,Posts to BQ Table if user has opened the link provided from Verisk,success,,,success,true~5856|false~5856|error~99990,,,"SESSION_ID,POLICY_NUMBER,SAVE_NODE,VERISK_LINK,FIRSTNAME,LASTNAME,SAVE_NODE,EMAIL,CLAIM_NUMBER,POLICYADDRSTATE,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDR1,POLICYADDR2,STOLEN_ITEMS_LIST,PHOTO_URL_LIST,EMAIL,STOLEN_ITEMS_LIST_FINAL,REMARKS_NOTE,POLICE_REPORT,POLICE_DEPARTMENT,CASE_NUMBER,PROPERTY_OWNER,BUSINESS_PURPOSE,INVESTIGATION_PASSED,STOLEN_ITEMS_SUMMARY,STOLEN_ITEM",,,
5853,D,Assigning the transcript to a var,,,,1,5854,ECH - assigning the transcript variable,,,1,,,,,,,,,,,TRANSCRIPT,,,
5854,A,ReformatTranscript,,,,,,ECH - reformatting the transcript to a more readable state,,,,,ReformatTranscript,,success,,,success,true~5855|false~5855|error~5855,,,"TRANSCRIPT,REFORMATTED_TRANSCRIPT",,,
5855,A,SlackLoggerBotCrash,,,,,,,,,,,SlackLoggerBotCrash,,success,,"{
        ""customer_name"": ""travelersinsurance"",
        ""customer_display_name"": ""Travelers Insurance"",
        ""query_time_frame"": ""6h""
}",success,true~5856|false~5856|error~5856,,,"TRANSCRIPT,CHATID,REFORMATTED_TRANSCRIPT,SESSION_ID,LASTURL",,,
5856,D,ECH - End Chat,,,,,,Done,,,,,,,,,,,,,,,,,
1800,D,Out of scope,out_of_scope,,,,,I'm not yet trained to understand natural language.,button,Start over~1,1,disable_input,,,,,,,,,,,,,
666,D,End chat,,,,,,,,,,,,,,,,,,,,,,,
999,D,Agent,,,,,,Transferring you to an agent...,,,,xfer_to_agent,,,,,,,,,,,,,
5000,D,Placeholder Start Node,,,,,,Please select the flow you'd like to see.,button,"<<fas fa-lock-alt>> Authenticated flow~100|
<<far fa-lock-open-alt>> Unauthenticated flow~101|
<<far fa-money-check-alt>> Jump to Payout Methods~666",1,disable_input,,,,,,,,,,,,,
10112,D,Greeting Unauth 2 (travelers.com),,,,1,100,"To begin the claims process, please enter your **policy number** below:",,,1,,,,,,,,,,,POLICY_NUMBER,,,
1,A,ShowMetadata - Retrieves Chat ID of current convo,,,,,,,,,,,ShowMetadata,Retrieves CHATID for Slack error logger,success,,,success,true~10|false~10|error~99990,,,CHATID,,,
10,A,UserPlatformRouting - Capture device type,,,,,,,,,,,UserPlatformRouting,,success,,,success,ios~100|android~1001|desktop~1002|error~1003,,,,,,
100,A,SetVar  - iOS,,,,,,,,,,,SetVar,,success,,"{""global_vars"":""USER_PLATFORM"",""input_var"":""iOS""}",success,true~101|error~1003,,,USER_PLATFORM,,,
1001,A,SetVar - Android,,,,,,,,,,,SetVar,,success,,"{""global_vars"":""USER_PLATFORM"",""input_var"":""Android""}",success,true~101|error~1003,,,USER_PLATFORM,,,
1002,A,SetVar - Desktop,,,,,,,,,,,SetVar,,success,,"{""global_vars"":""USER_PLATFORM"",""input_var"":""Desktop""}",success,true~101|error~1003,,,USER_PLATFORM,,,
1003,D,User platform - Catch all error,,,,,101,,,,,,,,,,,,,,,,,,
101,A,CheckLastURL - Retrieves SESSION_ID in URL,,,,,,,,,,,CheckLastURL,"Description: 

This action node reads the URL that the user is on and pulls the query parameter. If the query parameter is in the form of a chat ID, we route them to ""true"" as the success. 

If the user has ""lordyum"" in the query parameter (ex. ""travelers.pypestream.com?lordyum"") that means we're going down the secret flow. If ""lordyum"" is present, we'll take them to ""hidden_flow"" which is essentially a secret shortcut for testing. 

Input:

URL that the user has received via text message (query parameter will be in the URL)",success,,,success,"true~1017|
hidden_flow~10100|
hidden_flow_2~10100|
false~10100|
no_session_id~99990|
error~99990",,,"LASTURL,SESSION_ID,CHECKLASTURL,CHECKLASTURL_ERROR",,,
